"@timestamp","json.apk","json.PII","json.testing_label","json.country"
"Feb 6, 2020 @ 10:01:14.891","com.hakik.photo.free.blender.pro","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:14.891","spanish.stickers.wastickerapps","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:14.891","com.ayogamez.sketchcartoon","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:14.891","com.flying.car.robot.transformation.extreme.car.driving.games","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:14.890","com.google.android.gm","Certificate Pinning","int_transfers_demo","United States"
"Feb 6, 2020 @ 10:01:14.890","com.puntosconductor","Certificate Pinning",,"United States"
"Feb 6, 2020 @ 10:01:14.889","com.google.android.gm","Certificate Pinning","int_transfers_demo","United States"
"Feb 6, 2020 @ 10:01:14.889","com.puntosconductor","Certificate Pinning",,"United States"
"Feb 6, 2020 @ 10:01:14.889","spanish.stickers.wastickerapps","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:14.889","com.ayogamez.sketchcartoon","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:14.888","spanish.stickers.wastickerapps","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:14.888","com.ayogamez.sketchcartoon","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:14.888","com.flying.car.robot.transformation.extreme.car.driving.games","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:14.887","com.google.android.apps.maps","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:14.887","com.google.android.apps.maps","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:14.887","com.google.android.apps.maps","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:14.887","com.google.android.apps.maps","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:14.887","com.google.android.apps.maps","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:14.887","com.google.android.apps.maps","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:14.887","com.google.android.apps.maps","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:14.887","com.google.android.apps.maps","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:14.887","com.google.android.apps.maps","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:14.036","com.hakik.photo.free.blender.pro","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:13.896","com.puntosconductor","Certificate Pinning",,"United States"
"Feb 6, 2020 @ 10:01:13.801","com.google.android.gm","Certificate Pinning","int_transfers_demo","United States"
"Feb 6, 2020 @ 10:01:13.601","com.smartbox.smartboxbeneficiary","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:13.470","com.navarweb.matiasapp","Certificate Pinning",,France
"Feb 6, 2020 @ 10:01:13.383","com.grand.robot.speed.hero","Certificate Pinning","int_transfers_optout_aaid",Ireland
"Feb 6, 2020 @ 10:01:13.268","com.ayogamez.sketchcartoon","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:13.265","spanish.stickers.wastickerapps","Certificate Pinning","int_transfers_domain_added","United States"
"Feb 6, 2020 @ 10:01:13.126","com.google.android.apps.maps","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:13.126","com.google.android.apps.maps","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:13.126","com.google.android.apps.maps","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:13.126","com.google.android.apps.maps","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:13.126","com.google.android.apps.maps","Certificate Pinning","int_transfers_optout_aaid","United States"
"Feb 6, 2020 @ 10:01:13.126","com.google.android.apps.maps","Certificate Pinning","int_transfers_optout_aaid","United States"
